,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,17,0.3143135173389951
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,0,0.4459298871063577
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,9,0.5187384534177883
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,4,0.8204011612562683
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,16,0.2708227311280746
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,4,0.34933269014310986
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,16,0.29303536169448924
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,8,0.470189701897019
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,7,0.47338772338772345
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,9,0.6535555555555556
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,17,0.8493802567507748
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,9,0.45230148797107483
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,4,0.3081558527323758
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,17,0.23067931793179317
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,17,0.5421865715983363
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,5,0.5428353989997826
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,5,0.36984126984126975
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,4,0.5308774439675727
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,2,0.5010342789598109
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,8,0.5077294685990339
20,"=HYPERLINK(""https://stackoverflow.com/q/5552901"", ""5552901"")",q,4,0.3642290249433108
21,"=HYPERLINK(""https://stackoverflow.com/q/6580311"", ""6580311"")",q,17,0.48857942823460065
22,"=HYPERLINK(""https://stackoverflow.com/q/6645196"", ""6645196"")",q,17,0.38951077943615264
23,"=HYPERLINK(""https://stackoverflow.com/q/7048854"", ""7048854"")",q,1,0.7270981087470451
24,"=HYPERLINK(""https://stackoverflow.com/q/7304006"", ""7304006"")",q,4,0.3791387365427586
25,"=HYPERLINK(""https://stackoverflow.com/q/7383641"", ""7383641"")",q,14,0.20328282828282826
26,"=HYPERLINK(""https://stackoverflow.com/q/7679733"", ""7679733"")",q,4,0.2861850955071295
27,"=HYPERLINK(""https://stackoverflow.com/q/7699717"", ""7699717"")",q,0,0.2945165945165944
28,"=HYPERLINK(""https://stackoverflow.com/q/7839597"", ""7839597"")",q,0,0.6256569069069067
29,"=HYPERLINK(""https://stackoverflow.com/q/8005085"", ""8005085"")",q,4,0.7453759148369927
30,"=HYPERLINK(""https://stackoverflow.com/q/8040701"", ""8040701"")",q,1,0.5529423151374374
31,"=HYPERLINK(""https://stackoverflow.com/q/8067099"", ""8067099"")",q,3,0.2930096559227526
32,"=HYPERLINK(""https://stackoverflow.com/q/8123314"", ""8123314"")",q,4,0.43975174084165897
33,"=HYPERLINK(""https://stackoverflow.com/q/8430681"", ""8430681"")",q,1,0.4740859069932552
34,"=HYPERLINK(""https://stackoverflow.com/q/8430696"", ""8430696"")",q,1,0.851082712105076
35,"=HYPERLINK(""https://stackoverflow.com/q/8522884"", ""8522884"")",q,4,0.5224283470749902
36,"=HYPERLINK(""https://stackoverflow.com/q/8640940"", ""8640940"")",q,9,0.4582807637311801
37,"=HYPERLINK(""https://stackoverflow.com/q/8657698"", ""8657698"")",q,12,0.3198607326672721
38,"=HYPERLINK(""https://stackoverflow.com/q/8980486"", ""8980486"")",q,7,0.28994469582704885
39,"=HYPERLINK(""https://stackoverflow.com/q/9041860"", ""9041860"")",q,7,0.3504993757802747
40,"=HYPERLINK(""https://stackoverflow.com/q/9054254"", ""9054254"")",q,4,0.5499585406301823
41,"=HYPERLINK(""https://stackoverflow.com/q/9076585"", ""9076585"")",q,10,0.4611678004535148
42,"=HYPERLINK(""https://stackoverflow.com/q/9139207"", ""9139207"")",q,12,0.19988545246277203
43,"=HYPERLINK(""https://stackoverflow.com/q/9168994"", ""9168994"")",q,0,0.2726163663663663
44,"=HYPERLINK(""https://stackoverflow.com/q/9187799"", ""9187799"")",q,10,0.8034003831417625
45,"=HYPERLINK(""https://stackoverflow.com/q/9257823"", ""9257823"")",q,10,0.2985133020344289
46,"=HYPERLINK(""https://stackoverflow.com/q/9372228"", ""9372228"")",q,4,0.5027667109340418
47,"=HYPERLINK(""https://stackoverflow.com/q/9391137"", ""9391137"")",q,4,0.6255856760374832
48,"=HYPERLINK(""https://stackoverflow.com/q/9481841"", ""9481841"")",q,2,0.4111590038314176
49,"=HYPERLINK(""https://stackoverflow.com/q/9588748"", ""9588748"")",q,10,0.6112855398569683
50,"=HYPERLINK(""https://stackoverflow.com/q/9766725"", ""9766725"")",q,1,0.34076682316118956
51,"=HYPERLINK(""https://stackoverflow.com/q/9802779"", ""9802779"")",q,4,0.40533134030891865
52,"=HYPERLINK(""https://stackoverflow.com/q/9959449"", ""9959449"")",q,4,0.633830315938942
53,"=HYPERLINK(""https://stackoverflow.com/q/9980294"", ""9980294"")",q,4,0.7791625936787232
54,"=HYPERLINK(""https://stackoverflow.com/q/10042002"", ""10042002"")",q,1,0.48970189701897016
55,"=HYPERLINK(""https://stackoverflow.com/q/10152372"", ""10152372"")",q,14,0.32045621780721123
56,"=HYPERLINK(""https://stackoverflow.com/q/10170940"", ""10170940"")",q,4,0.6228144388042868
57,"=HYPERLINK(""https://stackoverflow.com/q/10215293"", ""10215293"")",q,3,0.3471086890705419
58,"=HYPERLINK(""https://stackoverflow.com/q/10247749"", ""10247749"")",q,12,0.41436850519584323
59,"=HYPERLINK(""https://stackoverflow.com/q/10476572"", ""10476572"")",q,10,0.37154540327129165
60,"=HYPERLINK(""https://stackoverflow.com/q/10557731"", ""10557731"")",q,4,0.3217785172860049
61,"=HYPERLINK(""https://stackoverflow.com/q/10586848"", ""10586848"")",q,4,0.3430954916577919
62,"=HYPERLINK(""https://stackoverflow.com/q/10673123"", ""10673123"")",q,4,0.5845979417407988
63,"=HYPERLINK(""https://stackoverflow.com/q/10690115"", ""10690115"")",q,17,0.5402146464646466
64,"=HYPERLINK(""https://stackoverflow.com/q/10761717"", ""10761717"")",q,4,0.6095555555555555
65,"=HYPERLINK(""https://stackoverflow.com/q/10774183"", ""10774183"")",q,9,0.6112678263595048
66,"=HYPERLINK(""https://stackoverflow.com/q/10784169"", ""10784169"")",q,4,0.4009873452927271
67,"=HYPERLINK(""https://stackoverflow.com/q/10898993"", ""10898993"")",q,9,0.5736476608187133
68,"=HYPERLINK(""https://stackoverflow.com/q/10919857"", ""10919857"")",q,14,0.32106424041907905
69,"=HYPERLINK(""https://stackoverflow.com/q/10923870"", ""10923870"")",q,4,0.3045940170940171
70,"=HYPERLINK(""https://stackoverflow.com/q/10930561"", ""10930561"")",q,12,0.2796219455970494
71,"=HYPERLINK(""https://stackoverflow.com/q/11064969"", ""11064969"")",q,0,0.5238335011748909
72,"=HYPERLINK(""https://stackoverflow.com/q/11171081"", ""11171081"")",q,13,0.5227370227370226
73,"=HYPERLINK(""https://stackoverflow.com/q/11248169"", ""11248169"")",q,1,0.20808473843493303
74,"=HYPERLINK(""https://stackoverflow.com/q/11306027"", ""11306027"")",q,17,0.6055555555555555
75,"=HYPERLINK(""https://stackoverflow.com/q/11316689"", ""11316689"")",q,10,0.4175555555555555
76,"=HYPERLINK(""https://stackoverflow.com/q/11352675"", ""11352675"")",q,4,0.7416542102640756
77,"=HYPERLINK(""https://stackoverflow.com/q/11446885"", ""11446885"")",q,1,0.5356999598876854
78,"=HYPERLINK(""https://stackoverflow.com/q/11513122"", ""11513122"")",q,4,0.5579945799457995
79,"=HYPERLINK(""https://stackoverflow.com/q/11698968"", ""11698968"")",q,17,0.1959583991574513
80,"=HYPERLINK(""https://stackoverflow.com/q/11718933"", ""11718933"")",q,17,0.32293523469994073
81,"=HYPERLINK(""https://stackoverflow.com/q/12004748"", ""12004748"")",q,17,0.7465144596651446
82,"=HYPERLINK(""https://stackoverflow.com/q/12020334"", ""12020334"")",q,1,0.31879084967320265
83,"=HYPERLINK(""https://stackoverflow.com/q/12028626"", ""12028626"")",q,4,0.5181351733899506
84,"=HYPERLINK(""https://stackoverflow.com/q/12031216"", ""12031216"")",q,5,0.32251398006321413
85,"=HYPERLINK(""https://stackoverflow.com/q/12087385"", ""12087385"")",q,4,0.4339037698412698
86,"=HYPERLINK(""https://stackoverflow.com/q/12242168"", ""12242168"")",q,3,0.4103942652329749
87,"=HYPERLINK(""https://stackoverflow.com/q/12270740"", ""12270740"")",q,9,0.3400813459049732
88,"=HYPERLINK(""https://stackoverflow.com/q/12318829"", ""12318829"")",q,7,0.5230111768573306
89,"=HYPERLINK(""https://stackoverflow.com/q/12382382"", ""12382382"")",q,13,0.2315109695682944
90,"=HYPERLINK(""https://stackoverflow.com/q/12412269"", ""12412269"")",q,4,0.659494286408947
91,"=HYPERLINK(""https://stackoverflow.com/q/12504547"", ""12504547"")",q,1,0.2952747130279728
92,"=HYPERLINK(""https://stackoverflow.com/q/12507134"", ""12507134"")",q,3,0.6483564554430695
93,"=HYPERLINK(""https://stackoverflow.com/q/12559029"", ""12559029"")",q,9,0.4016046018770815
94,"=HYPERLINK(""https://stackoverflow.com/q/12729100"", ""12729100"")",q,3,0.3511307767944936
95,"=HYPERLINK(""https://stackoverflow.com/q/12892318"", ""12892318"")",q,9,0.4492122719734659
96,"=HYPERLINK(""https://stackoverflow.com/q/13056153"", ""13056153"")",q,10,0.24039598108747046
97,"=HYPERLINK(""https://stackoverflow.com/q/13063536"", ""13063536"")",q,2,0.403892150467493
98,"=HYPERLINK(""https://stackoverflow.com/q/13085151"", ""13085151"")",q,2,0.547331871345029
99,"=HYPERLINK(""https://stackoverflow.com/q/13267422"", ""13267422"")",q,7,0.6397392290249435
100,"=HYPERLINK(""https://stackoverflow.com/q/13393253"", ""13393253"")",q,4,0.3928336620644313
101,"=HYPERLINK(""https://stackoverflow.com/q/13480693"", ""13480693"")",q,11,0.30865729252826024
102,"=HYPERLINK(""https://stackoverflow.com/q/13561945"", ""13561945"")",q,9,0.4261277626400242
103,"=HYPERLINK(""https://stackoverflow.com/q/13767870"", ""13767870"")",q,13,0.22005369681949602
104,"=HYPERLINK(""https://stackoverflow.com/q/13825378"", ""13825378"")",q,4,0.33656026513169374
105,"=HYPERLINK(""https://stackoverflow.com/q/13834716"", ""13834716"")",q,14,0.6781283710895362
106,"=HYPERLINK(""https://stackoverflow.com/q/13929746"", ""13929746"")",q,16,0.2942996313849395
107,"=HYPERLINK(""https://stackoverflow.com/q/13991036"", ""13991036"")",q,0,0.30601259394678043
108,"=HYPERLINK(""https://stackoverflow.com/q/14001746"", ""14001746"")",q,13,0.6241602067183462
109,"=HYPERLINK(""https://stackoverflow.com/q/14281766"", ""14281766"")",q,17,0.4615501059642749
110,"=HYPERLINK(""https://stackoverflow.com/q/14475459"", ""14475459"")",q,0,0.38302034428795
111,"=HYPERLINK(""https://stackoverflow.com/q/14487518"", ""14487518"")",q,10,0.41976608187134506
112,"=HYPERLINK(""https://stackoverflow.com/q/14530767"", ""14530767"")",q,5,0.40825265099124025
113,"=HYPERLINK(""https://stackoverflow.com/q/14534834"", ""14534834"")",q,3,0.6873175339172247
114,"=HYPERLINK(""https://stackoverflow.com/q/14598065"", ""14598065"")",q,9,0.5881871345029241
115,"=HYPERLINK(""https://stackoverflow.com/q/14634758"", ""14634758"")",q,8,0.2567389875082183
116,"=HYPERLINK(""https://stackoverflow.com/q/14907056"", ""14907056"")",q,10,0.6269841269841269
117,"=HYPERLINK(""https://stackoverflow.com/q/15006547"", ""15006547"")",q,1,0.3223466003316749
118,"=HYPERLINK(""https://stackoverflow.com/q/15045253"", ""15045253"")",q,4,0.33203423506036994
119,"=HYPERLINK(""https://stackoverflow.com/q/15106856"", ""15106856"")",q,10,0.2612448334548991
120,"=HYPERLINK(""https://stackoverflow.com/q/15224492"", ""15224492"")",q,4,0.40142021720969095
121,"=HYPERLINK(""https://stackoverflow.com/q/15239231"", ""15239231"")",q,1,0.4830109126984129
122,"=HYPERLINK(""https://stackoverflow.com/q/15580847"", ""15580847"")",q,1,0.45341269841269843
123,"=HYPERLINK(""https://stackoverflow.com/q/15763574"", ""15763574"")",q,4,0.5052596975673898
124,"=HYPERLINK(""https://stackoverflow.com/q/15919715"", ""15919715"")",q,7,0.2962580348943985
125,"=HYPERLINK(""https://stackoverflow.com/q/16001298"", ""16001298"")",q,14,0.7553527157989632
126,"=HYPERLINK(""https://stackoverflow.com/q/16045596"", ""16045596"")",q,7,0.4193581149705465
127,"=HYPERLINK(""https://stackoverflow.com/q/16087271"", ""16087271"")",q,4,0.28139198678232136
128,"=HYPERLINK(""https://stackoverflow.com/q/16152727"", ""16152727"")",q,9,0.47660818713450287
129,"=HYPERLINK(""https://stackoverflow.com/q/16163032"", ""16163032"")",q,1,0.3393790849673202
130,"=HYPERLINK(""https://stackoverflow.com/q/16200946"", ""16200946"")",q,4,0.48695090439276484
131,"=HYPERLINK(""https://stackoverflow.com/q/16306006"", ""16306006"")",q,4,0.5140393100681908
132,"=HYPERLINK(""https://stackoverflow.com/q/16437979"", ""16437979"")",q,17,0.2792001338688086
133,"=HYPERLINK(""https://stackoverflow.com/q/16563253"", ""16563253"")",q,1,0.4691069574247144
134,"=HYPERLINK(""https://stackoverflow.com/q/16567269"", ""16567269"")",q,17,0.24014166402368115
135,"=HYPERLINK(""https://stackoverflow.com/q/16617053"", ""16617053"")",q,5,0.32707873436350254
136,"=HYPERLINK(""https://stackoverflow.com/q/16819801"", ""16819801"")",q,14,0.5289058093626622
